"id","name","description","color","isBillable","isActive","createdAt"
3,"Planejamento","Planejamento estratégico","#f59e0b","true","true","""2025-07-24T21:08:03.425Z"""
4,"Revisão","Revisão de materiais","#ef4444","true","true","""2025-07-24T21:08:03.441Z"""
5,"Administrativo","Atividades administrativas","#6b7280","false","true","""2025-07-24T21:08:03.457Z"""
1,"Criação","Desenvolvimento de peças criativas","#3b82f6","true","true","""2025-07-24T21:08:03.390Z"""
6,"Atendimento","Comunicação com clientes e suporte","#d19fd5","true","true","""2025-08-27T18:47:58.499Z"""
2,"Reunião Interna","Reuniões com a equipe","#10b981","false","true","""2025-07-24T21:08:03.408Z"""
7,"Produção","","#a8ab0d","true","true","""2025-08-27T18:48:57.275Z"""
8,"Gestão de Redes Sociais","Agendamento, monitoramento e respostas.","#919fb6","true","true","""2025-08-27T18:49:33.882Z"""
9,"Treinamentos","","#6e455f","true","true","""2025-08-27T18:49:43.148Z"""
10,"Prospecção","Contato com leads e novos clientes.","#225f21","false","true","""2025-08-27T18:50:11.249Z"""
11,"Criação de Propostas","","#f76a3b","false","true","""2025-08-27T18:50:30.387Z"""
12,"Pesquisa de Mercado","","#781c4d","false","true","""2025-08-27T18:50:47.668Z"""
13,"Aprovação de Materiais","","#99a9c2","true","true","""2025-08-27T18:51:05.801Z"""
